rainfall,humidity,temperature,crop
1576.9,86.0,23.9,Pumpkin
1281.4,83.9,12.3,Cowpeas
1722.3,77.9,28.2,Maize
1152.2,84.2,31.2,Green Grams
748.8,73.3,33.2,Spinach
1224.1,43.9,24.4,Maize
1601.8,64.1,14.9,Cassava
1623.2,60.6,34.6,Garlic
409.8,76.2,15.5,Cowpeas
217.4,67.4,25.9,Irish Potatoes
661.6,46.8,16.9,Cucumber
463.1,72.1,33.7,Maize
839.3,70.8,21.7,Peas
688.1,47.1,27.2,Wheat
1043.1,46.4,34.1,Carrots
1288.7,57.0,30.0,Millet
220.1,59.4,10.5,Groundnuts
1263.3,71.4,14.9,Cucumber
968.6,62.7,22.3,Beans
1244.9,58.1,22.4,Lentils
667.9,73.9,16.7,Cabbage
843.7,80.2,27.9,Bananas
1622.0,52.0,16.5,Carrots
1005.1,85.6,18.3,Chilies
1977.8,57.5,25.6,Garlic
329.7,69.1,32.2,Cassava
1832.5,55.5,21.9,Watermelon
973.4,84.9,15.1,Cowpeas
1318.0,66.4,31.1,Soybeans
1236.0,54.4,26.6,Cassava
1269.6,40.9,23.5,Green Grams
1222.9,59.3,16.2,Garlic
1026.6,81.7,19.2,Spinach
1056.6,60.6,20.3,Pineapple
1630.1,85.9,12.6,Wheat
1362.2,51.6,26.6,Groundnuts
1813.5,79.0,15.1,Peas
1935.4,75.9,13.3,Spinach
440.3,42.0,27.4,Chilies
853.4,84.4,29.3,Pumpkin
801.1,53.5,15.4,Watermelon
487.4,46.7,24.0,Pumpkin
577.2,88.5,16.8,Green Grams
1805.6,85.1,10.6,Maize
1422.9,73.3,25.8,Garlic
1732.9,59.8,21.9,Sunflower
873.2,66.2,26.5,Irish Potatoes
838.0,50.2,15.3,Groundnuts
585.4,40.8,13.2,Tomatoes
1213.3,75.7,21.2,Cassava
611.5,63.1,25.2,Sweet Potatoes
1400.8,78.1,26.3,Sweet Potatoes
604.7,72.0,15.8,Maize
920.9,57.3,14.3,Carrots
1730.2,63.7,23.4,Soybeans
1020.2,44.1,20.5,Green Grams
1884.4,41.8,17.1,Cassava
1575.1,77.3,15.4,Cassava
206.1,56.2,13.1,Spinach
939.6,57.6,11.9,Lentils
1527.6,49.6,27.2,Tomatoes
1206.7,63.9,26.5,Lentils
1066.2,79.2,12.9,Green Grams
1600.1,88.5,27.6,Cucumber
950.1,60.5,21.1,Cabbage
1493.6,81.2,13.8,Peas
1787.5,43.5,18.2,Millet
1427.3,54.2,30.6,Chilies
606.0,64.8,19.0,Kale
1286.4,83.0,32.5,Pawpaw
1530.5,70.9,16.3,Garlic
1257.5,62.7,31.4,Watermelon
253.7,61.5,12.8,Rice
1759.3,59.0,23.7,Soybeans
1267.8,47.0,16.6,Bananas
1492.5,85.6,24.8,Pineapple
605.7,41.8,25.3,Pumpkin
1957.8,62.7,10.1,Wheat
319.9,75.5,17.9,Millet
972.3,88.3,13.5,Sunflower
1695.3,50.1,33.8,Onions
454.1,55.9,20.6,Garlic
1039.5,53.1,17.4,Irish Potatoes
1876.1,59.5,21.3,Pineapple
586.1,49.5,27.6,Tomatoes
748.3,86.1,20.8,Bananas
1488.0,41.5,13.9,Spinach
1218.2,64.5,11.7,Cassava
874.1,80.7,21.1,Pumpkin
231.2,57.3,30.6,Cassava
799.3,52.3,24.2,Watermelon
443.9,77.4,29.2,Sunflower
1092.4,62.6,34.0,Sunflower
1877.3,68.2,31.8,Maize
1109.2,47.6,19.4,Cowpeas
1079.7,78.0,30.0,Lentils
278.9,47.9,15.8,Chilies
876.8,46.7,27.9,Pawpaw
1463.4,81.7,21.5,Lentils
1329.0,87.1,34.8,Spinach
712.1,43.2,27.5,Beans
1067.1,89.1,10.6,Garlic
331.2,64.0,31.5,Kale
255.0,84.6,15.5,Cowpeas
1117.6,42.0,17.1,Irish Potatoes
1661.3,40.0,30.6,Pawpaw
858.4,78.5,18.8,Cassava
1525.1,61.9,15.3,Cassava
1100.1,56.3,16.9,Garlic
1848.2,56.7,15.7,Millet
1226.4,69.7,26.6,Sunflower
1976.5,61.7,28.8,Garlic
1114.8,49.5,14.1,Millet
1552.4,59.0,32.5,Maize
916.8,72.7,32.0,Kale
869.5,63.0,18.8,Bananas
1685.3,75.1,18.6,Groundnuts
778.6,54.3,16.9,Sweet Potatoes
1951.6,42.4,23.3,Millet
1348.0,52.0,15.3,Sweet Potatoes
1165.1,53.0,27.6,Beans
920.6,79.5,12.5,Maize
809.0,54.2,12.9,Green Grams
587.3,75.7,10.2,Pumpkin
1411.9,72.9,34.7,Cowpeas
688.8,49.2,28.5,Irish Potatoes
1047.1,66.9,17.0,Watermelon
688.4,58.4,12.2,Kale
1759.3,52.3,33.7,Groundnuts
1881.1,62.1,31.9,Lentils
395.8,74.3,34.9,Irish Potatoes
1949.6,67.2,14.6,Pumpkin
1632.8,53.6,22.3,Pawpaw
395.9,80.4,25.6,Sweet Potatoes
1155.3,67.7,12.7,Spinach
774.1,63.1,23.4,Tomatoes
344.8,77.4,19.3,Maize
1738.1,66.0,29.7,Cucumber
912.7,58.9,17.4,Rice
1644.5,78.0,11.6,Rice
274.5,58.8,28.1,Lentils
1758.0,77.1,30.6,Rice
1879.3,60.2,14.9,Tomatoes
1324.6,75.6,21.6,Cassava
806.4,68.5,29.9,Cabbage
1627.8,51.3,28.7,Wheat
231.1,53.0,16.3,Garlic
241.3,82.7,24.5,Maize
1197.1,76.0,24.3,Groundnuts
917.9,69.1,25.6,Sunflower
1276.5,40.9,26.4,Wheat
1637.4,66.2,16.2,Pumpkin
519.5,56.8,12.4,Tomatoes
1084.0,45.5,16.9,Spinach
1670.1,86.2,11.1,Soybeans
1789.9,43.3,13.4,Pineapple
343.4,59.8,32.3,Soybeans
884.0,74.7,14.4,Sunflower
385.0,46.0,18.6,Millet
1644.7,65.2,11.0,Rice
282.1,63.8,32.5,Watermelon
1001.1,78.6,26.4,Rice
260.1,76.4,22.8,Soybeans
1361.5,86.6,28.8,Tomatoes
1207.8,78.8,32.0,Spinach
1853.6,66.1,30.3,Onions
1438.0,46.4,10.3,Spinach
1771.9,72.5,27.9,Carrots
1291.9,73.9,16.2,Carrots
1192.9,65.9,13.5,Soybeans
1461.8,76.7,22.3,Chilies
254.9,47.0,34.9,Lentils
1109.1,46.3,27.2,Pineapple
1742.7,43.8,31.4,Watermelon
1684.5,43.6,14.4,Spinach
1934.4,49.7,13.5,Millet
323.8,78.3,26.1,Sweet Potatoes
1505.2,77.5,32.2,Garlic
1614.8,75.6,27.9,Cucumber
421.4,84.9,23.7,Cabbage
814.7,72.8,12.8,Maize
348.6,62.3,17.8,Cabbage
1434.9,42.8,11.4,Millet
1767.6,56.0,17.3,Cowpeas
550.8,79.1,26.3,Tomatoes
1551.6,58.5,27.2,Garlic
1202.9,46.7,23.7,Pumpkin
820.4,76.1,32.6,Cowpeas
1160.9,66.9,15.2,Bananas
1559.8,85.1,28.7,Peas
1533.9,40.6,22.6,Millet
346.0,49.8,28.6,Spinach
1360.4,58.7,32.2,Bananas
207.5,56.3,34.1,Maize
1475.6,61.5,16.7,Carrots
910.0,62.8,31.5,Cassava
852.4,41.5,15.0,Millet
1108.1,81.7,24.9,Cabbage
1491.8,89.7,12.7,Pawpaw
863.4,45.5,34.4,Carrots
1630.1,76.5,10.8,Groundnuts
662.9,81.4,11.8,Onions
1352.9,84.8,15.6,Carrots
788.5,79.3,13.1,Kale
675.9,88.0,12.5,Sorghum
600.8,70.2,25.6,Garlic
1992.9,59.3,14.7,Bananas
290.4,87.1,15.0,Bananas
1529.2,55.5,34.2,Sunflower
593.0,48.7,28.6,Pawpaw
904.7,75.7,26.3,Irish Potatoes
1301.5,44.1,23.5,Bananas
1165.9,79.4,32.0,Peas
295.4,41.1,32.6,Garlic
1533.3,65.8,21.6,Millet
1307.2,53.4,33.8,Cabbage
1724.0,60.3,31.6,Kale
474.8,68.2,17.5,Millet
1018.4,50.9,22.7,Cowpeas
904.6,77.8,34.8,Cabbage
854.9,64.0,20.6,Tomatoes
1861.5,79.3,13.7,Watermelon
420.3,77.1,32.6,Cabbage
1142.3,82.6,17.7,Maize
855.5,57.6,26.4,Watermelon
467.0,89.6,23.1,Cowpeas
1870.7,74.0,18.6,Carrots
1531.5,46.4,26.7,Bananas
435.9,74.5,26.1,Cucumber
794.0,47.8,31.4,Beans
601.7,76.8,19.4,Watermelon
423.6,45.5,23.9,Spinach
996.6,65.9,34.2,Pineapple
1440.4,69.0,21.6,Onions
1931.4,58.0,25.1,Pumpkin
1213.2,63.5,19.1,Sweet Potatoes
1078.0,87.9,29.3,Cucumber
1614.2,51.0,25.3,Pumpkin
1683.5,59.5,10.6,Cowpeas
847.0,44.1,25.7,Groundnuts
900.4,49.8,10.1,Lentils
1952.2,86.0,31.4,Soybeans
326.2,66.5,33.0,Carrots
1532.7,77.9,20.6,Cucumber
588.5,41.2,26.0,Millet
512.7,74.8,18.6,Sunflower
496.9,77.5,27.2,Cowpeas
496.7,72.9,15.4,Pineapple
695.0,64.2,32.4,Groundnuts
1817.3,48.5,11.0,Cassava
563.0,86.2,20.6,Kale
1493.8,67.7,31.5,Green Grams
842.0,73.9,13.7,Pineapple
1164.1,67.8,23.0,Sorghum
264.8,87.8,18.4,Lentils
1507.0,61.3,25.0,Cowpeas
1593.1,60.8,27.8,Rice
1863.7,66.0,27.4,Bananas
607.7,52.8,34.4,Rice
1679.6,53.9,22.4,Chilies
545.0,77.3,29.5,Carrots
341.3,44.1,22.7,Pawpaw
1560.7,86.2,19.2,Tomatoes
1303.2,54.6,25.0,Beans
1005.4,72.5,14.8,Sorghum
1886.1,84.2,29.9,Pawpaw
233.4,85.7,13.8,Cucumber
1693.2,74.1,31.5,Green Grams
451.0,58.9,33.5,Beans
1511.8,81.5,19.2,Kale
1249.5,82.0,25.7,Wheat
851.3,65.4,14.1,Pineapple
1569.6,67.7,32.3,Sweet Potatoes
1730.7,69.1,16.5,Watermelon
288.1,53.2,23.3,Lentils
1073.6,51.5,19.1,Bananas
348.6,45.4,25.1,Watermelon
1352.8,48.0,30.1,Cabbage
479.9,79.8,29.5,Garlic
1766.1,80.0,24.7,Pineapple
1409.0,64.0,29.7,Bananas
1692.2,86.9,10.1,Garlic
737.0,79.1,18.5,Sweet Potatoes
577.3,43.1,17.8,Spinach
272.1,62.4,14.1,Kale
1741.3,79.8,23.8,Sorghum
1699.0,78.9,14.6,Sweet Potatoes
265.4,72.3,25.5,Cucumber
624.7,61.1,31.4,Maize
1379.4,70.1,12.2,Garlic
1125.1,49.5,12.0,Carrots
1305.4,74.3,21.4,Lentils
1867.4,81.2,12.5,Cassava
435.9,59.7,15.2,Garlic
481.4,71.9,26.7,Maize
252.6,89.9,13.7,Bananas
792.7,66.0,20.2,Rice
1809.5,45.4,28.8,Tomatoes
635.9,49.9,12.4,Maize
719.0,87.4,10.4,Sunflower
1210.4,86.0,21.5,Bananas
592.0,67.9,19.8,Groundnuts
1781.9,76.8,21.5,Sunflower
363.5,40.4,19.4,Pawpaw
1631.0,71.5,11.3,Irish Potatoes
389.8,77.8,21.8,Sunflower
1579.7,66.6,29.6,Garlic
650.9,79.9,25.9,Groundnuts
963.7,76.7,26.4,Cucumber
1519.3,51.5,16.3,Cowpeas
668.4,65.4,27.9,Onions
438.7,85.6,34.8,Irish Potatoes
1567.1,75.1,17.1,Bananas
585.4,46.8,32.2,Wheat
1609.0,85.8,34.4,Cowpeas
1472.7,76.5,33.2,Wheat
840.9,56.3,23.3,Irish Potatoes
227.3,49.8,29.5,Chilies
984.8,73.4,13.2,Soybeans
1603.8,60.9,30.1,Sunflower
640.6,52.1,32.1,Pineapple
790.6,53.0,22.0,Millet
1516.5,75.3,19.4,Tomatoes
389.5,87.8,23.7,Pawpaw
1962.6,80.3,15.3,Kale
1343.8,66.9,28.2,Spinach
1233.9,58.4,10.6,Cowpeas
1599.1,81.0,28.9,Kale
906.3,64.9,31.6,Cowpeas
1740.8,87.0,16.6,Bananas
1979.3,81.9,24.5,Soybeans
724.7,43.3,32.7,Beans
1907.0,75.7,27.4,Kale
601.5,88.1,23.4,Watermelon
1993.4,45.0,29.0,Onions
1052.6,68.4,15.5,Cowpeas
530.1,65.5,21.9,Tomatoes
1507.7,81.7,32.7,Chilies
1157.7,74.5,15.0,Pawpaw
1833.4,52.3,33.8,Garlic
858.0,83.0,13.5,Sweet Potatoes
1011.8,53.8,19.4,Irish Potatoes
1179.5,85.3,28.9,Cowpeas
1120.4,56.7,18.5,Sunflower
1742.6,63.5,11.4,Watermelon
1880.9,57.3,21.5,Wheat
1082.7,89.7,24.8,Sorghum
701.7,75.4,34.4,Kale
233.8,56.1,16.4,Lentils
1182.0,51.5,22.8,Cassava
1534.5,47.8,23.2,Lentils
434.2,86.9,31.6,Rice
1426.9,52.6,19.8,Cassava
1714.9,47.5,30.0,Lentils
1379.8,62.9,28.2,Onions
989.6,86.4,30.9,Sweet Potatoes
1462.1,69.8,20.5,Watermelon
646.5,67.4,27.5,Spinach
651.6,61.3,22.2,Cowpeas
1614.2,77.1,15.7,Cucumber
1445.5,76.5,25.6,Rice
725.4,55.8,13.6,Garlic
833.4,63.4,33.4,Rice
555.0,71.0,22.6,Sorghum
1246.6,85.6,13.5,Chilies
1718.7,67.0,28.9,Cassava
1518.0,44.7,30.8,Onions
987.4,73.8,24.9,Carrots
257.9,47.9,16.6,Lentils
1816.3,51.0,14.7,Pawpaw
1543.2,77.3,26.0,Millet
1578.2,82.2,14.0,Sorghum
489.0,50.8,12.9,Sorghum
1229.2,83.2,31.3,Kale
704.7,59.5,21.0,Watermelon
1083.5,67.4,14.6,Pineapple
1110.3,85.4,25.2,Maize
1995.8,85.2,26.6,Cassava
538.7,88.8,16.0,Groundnuts
1043.7,47.2,10.8,Sorghum
1734.6,44.6,14.5,Onions
264.2,79.3,14.1,Cassava
1714.7,64.5,25.0,Cabbage
1350.3,66.0,15.2,Tomatoes
1125.1,72.6,26.7,Wheat
1474.6,81.8,31.3,Kale
271.5,68.6,34.4,Soybeans
301.9,76.9,16.5,Rice
286.3,46.5,33.9,Chilies
1166.2,51.6,33.4,Irish Potatoes
1785.8,79.5,14.7,Millet
1886.3,77.7,33.2,Rice
1559.8,54.2,28.6,Garlic
646.9,69.1,11.8,Kale
707.6,43.8,20.9,Maize
413.8,53.6,12.7,Carrots
1827.1,45.0,12.4,Groundnuts
949.4,45.2,32.9,Watermelon
965.0,89.9,10.5,Cowpeas
1892.3,51.0,15.1,Tomatoes
1246.9,65.7,32.1,Millet
1130.5,50.5,18.7,Carrots
1566.6,68.9,26.4,Maize
1343.8,75.9,26.2,Irish Potatoes
1539.7,52.5,21.1,Tomatoes
1389.6,89.7,20.8,Green Grams
1077.3,63.7,21.0,Tomatoes
1938.8,56.6,30.2,Cassava
1932.3,69.8,18.5,Maize
789.1,75.7,10.5,Groundnuts
1661.0,65.2,11.5,Cassava
533.2,89.3,17.6,Carrots
1156.4,61.5,32.0,Cucumber
618.5,40.3,24.6,Cassava
1342.9,88.9,24.9,Irish Potatoes
1565.5,75.0,14.2,Spinach
701.9,43.3,11.5,Pawpaw
1999.7,58.7,22.9,Tomatoes
1200.0,65.0,30.1,Pumpkin
1136.6,61.1,19.0,Green Grams
1721.0,69.2,32.9,Pineapple
287.4,80.3,26.0,Peas
689.5,74.2,27.4,Soybeans
1599.1,52.7,23.5,Cowpeas
260.2,62.2,32.9,Pawpaw
248.2,67.4,32.2,Lentils
1831.7,74.0,30.4,Groundnuts
1086.6,69.3,32.5,Watermelon
1189.7,51.4,21.7,Cabbage
1891.6,83.3,18.9,Onions
715.7,72.0,18.2,Peas
1104.6,89.4,21.0,Lentils
459.4,76.8,25.3,Maize
1804.7,51.6,25.6,Tomatoes
1980.0,68.9,25.9,Irish Potatoes
716.3,51.6,27.1,Cabbage
577.4,86.6,16.9,Spinach
239.9,58.5,33.3,Sunflower
814.7,47.0,20.8,Beans
1281.5,61.1,12.7,Cassava
1125.7,81.8,32.6,Irish Potatoes
760.0,53.0,19.9,Groundnuts
289.1,82.6,33.6,Millet
1041.1,75.6,31.9,Lentils
350.8,83.6,21.6,Bananas
741.2,50.6,10.4,Irish Potatoes
502.7,40.5,24.8,Cucumber
1297.9,81.8,20.2,Beans
1489.1,88.6,12.2,Green Grams
1388.2,56.1,25.4,Chilies
1295.6,42.7,16.9,Green Grams
1237.6,89.5,34.0,Onions
1632.7,77.8,22.5,Cucumber
1694.5,54.0,27.1,Sweet Potatoes
520.7,57.1,20.0,Millet
1305.7,71.2,27.7,Wheat
767.4,52.0,13.7,Sorghum
949.6,75.4,11.6,Wheat
761.4,85.4,28.3,Millet
1142.7,54.0,11.7,Pineapple
597.7,57.6,29.4,Rice
1186.0,78.9,27.6,Green Grams
979.3,40.9,26.2,Watermelon
1144.9,88.4,21.8,Cucumber
1879.0,69.4,28.8,Pumpkin
461.0,77.2,19.5,Wheat
1087.6,78.4,34.7,Pineapple
1101.7,45.3,15.8,Soybeans
371.3,88.1,12.0,Sunflower
1995.6,84.6,13.8,Cowpeas
1068.6,59.4,17.7,Onions
840.1,52.8,23.2,Sunflower
1871.7,70.2,19.5,Cucumber
534.1,67.7,22.5,Beans
407.6,66.8,19.4,Irish Potatoes
1650.1,54.0,15.3,Cabbage
936.2,79.5,15.4,Cassava
453.9,51.2,31.2,Millet
1042.8,53.3,10.3,Carrots
318.8,80.4,14.2,Tomatoes
1610.0,86.1,31.6,Irish Potatoes
984.9,74.0,31.0,Cucumber
557.3,59.3,26.5,Cabbage
1955.4,69.7,26.0,Maize
986.8,69.2,13.5,Sunflower
609.2,58.9,26.0,Groundnuts
299.7,89.8,20.4,Cucumber
655.2,88.0,14.5,Bananas
347.6,49.4,14.5,Pineapple
1732.9,69.1,33.5,Maize
1501.2,76.6,11.7,Lentils
1135.9,40.2,33.4,Cassava
259.0,76.5,33.2,Maize
429.3,68.6,17.9,Pineapple
776.0,49.0,20.0,Carrots
366.8,89.3,19.5,Beans
434.1,72.2,12.2,Peas
821.6,65.9,16.3,Cucumber
1110.6,47.3,11.1,Tomatoes
803.3,86.9,17.3,Peas
1470.6,59.4,27.7,Pawpaw
1971.7,62.0,26.2,Wheat
600.7,84.1,34.8,Tomatoes
1340.7,49.1,17.2,Garlic
1627.1,89.6,27.0,Cabbage
1344.5,43.6,28.2,Soybeans
1146.9,79.8,10.9,Onions
1691.7,83.1,15.7,Irish Potatoes
1435.9,67.7,20.3,Cucumber
1033.0,68.4,20.6,Cucumber
1538.5,51.2,11.4,Garlic
1220.2,42.1,34.6,Sunflower
877.6,63.0,22.5,Cucumber
228.6,67.9,23.1,Cassava
1310.7,55.8,29.7,Kale
1423.9,55.8,16.1,Cucumber
755.5,52.5,12.9,Onions
604.2,62.4,29.1,Lentils
1056.8,70.9,18.6,Green Grams
384.2,50.0,12.1,Cabbage
1834.3,61.1,18.5,Cowpeas
1931.9,75.6,16.5,Kale
280.2,45.6,24.7,Rice
346.5,84.7,14.4,Cabbage
622.0,88.6,22.8,Tomatoes
1585.8,40.6,14.7,Chilies
1834.1,43.7,30.7,Garlic
1199.3,40.9,29.1,Cowpeas
461.5,60.1,26.7,Onions
1887.2,87.9,32.5,Pumpkin
1750.2,54.5,27.7,Groundnuts
928.5,52.7,21.6,Sunflower
1683.9,77.7,10.2,Beans
1535.5,74.8,12.4,Sunflower
609.3,53.3,11.7,Sweet Potatoes
1019.7,70.5,22.5,Cassava
1563.4,84.4,26.0,Peas
976.1,55.1,19.4,Sweet Potatoes
1336.9,42.4,33.3,Cowpeas
753.3,67.6,34.8,Kale
290.2,73.4,16.0,Green Grams
1042.6,72.3,20.1,Cucumber
479.6,62.4,17.3,Kale
1183.0,74.0,26.8,Tomatoes
1841.3,56.4,12.3,Sorghum
1821.2,89.7,27.0,Pumpkin
1423.3,56.9,34.2,Peas
1424.4,80.2,20.7,Sunflower
1665.8,69.1,33.8,Cabbage
1004.6,49.3,29.7,Cowpeas
726.3,45.3,28.8,Groundnuts
1419.1,45.0,16.6,Beans
1459.3,42.1,29.7,Cowpeas
344.7,49.4,29.4,Garlic
1484.1,42.3,10.3,Chilies
1798.9,59.3,31.3,Green Grams
377.8,83.7,25.1,Cowpeas
1740.2,71.9,13.9,Pumpkin
997.7,85.4,21.0,Garlic
265.5,43.4,24.9,Cowpeas
326.7,61.5,31.4,Pineapple
1184.5,73.1,22.0,Chilies
1226.4,83.5,15.6,Carrots
1461.3,74.5,12.7,Carrots
1226.1,81.9,13.4,Cassava
1471.2,65.9,32.4,Sweet Potatoes
996.6,40.3,22.5,Watermelon
1228.1,78.7,28.7,Cowpeas
666.1,82.6,27.4,Cucumber
1522.6,44.9,17.4,Soybeans
1529.9,79.5,16.7,Watermelon
270.2,52.5,14.3,Beans
1088.8,73.1,19.7,Pawpaw
338.9,41.7,15.8,Cucumber
592.6,72.3,12.5,Sweet Potatoes
1119.4,70.9,28.6,Irish Potatoes
815.6,76.7,13.1,Rice
898.6,47.6,27.9,Kale
1576.6,75.4,34.0,Watermelon
520.9,67.7,20.6,Pineapple
881.7,42.8,15.8,Pawpaw
648.8,52.0,21.0,Tomatoes
1468.4,41.8,17.6,Millet
600.5,57.9,14.3,Bananas
208.9,43.4,11.4,Wheat
1250.8,66.3,17.5,Spinach
1524.8,53.5,18.9,Wheat
1354.8,88.2,32.4,Rice
1341.9,47.8,19.2,Garlic
496.2,54.5,18.5,Wheat
1344.6,68.9,14.9,Chilies
1572.7,80.9,17.0,Bananas
1479.6,41.7,22.5,Cabbage
1399.5,74.1,11.8,Pineapple
978.8,59.1,21.4,Groundnuts
508.7,64.3,12.3,Chilies
1815.0,57.4,27.7,Carrots
403.9,80.4,10.3,Carrots
1130.5,57.2,25.4,Lentils
416.4,72.9,11.0,Beans
1107.2,59.9,18.8,Cabbage
1513.5,84.1,12.7,Cabbage
702.8,88.3,30.7,Sorghum
1822.5,59.3,21.7,Chilies
1121.3,68.5,26.9,Chilies
1824.2,46.4,26.6,Cassava
738.5,78.9,17.6,Garlic
1228.2,60.1,10.0,Sunflower
1883.4,88.9,15.7,Watermelon
1787.9,79.8,18.4,Cabbage
1557.4,75.5,14.6,Soybeans
1886.6,57.9,27.4,Garlic
1605.6,52.5,11.2,Cassava
527.2,86.1,19.0,Sorghum
549.2,56.7,20.5,Kale
1749.9,77.6,27.4,Irish Potatoes
1638.9,73.0,23.2,Groundnuts
1439.5,59.9,19.5,Pawpaw
565.9,77.2,23.6,Garlic
523.5,45.3,12.0,Sorghum
1363.8,56.0,35.0,Cabbage
535.8,55.8,12.3,Sweet Potatoes
1590.6,42.6,16.7,Chilies
1012.9,65.4,33.0,Garlic
1739.1,51.6,17.1,Soybeans
1941.7,56.3,31.6,Pumpkin
951.7,76.0,10.1,Carrots
1207.0,80.7,10.3,Onions
421.8,53.8,20.9,Irish Potatoes
239.4,76.6,15.0,Maize
464.2,60.3,24.7,Garlic
1139.4,57.4,17.0,Wheat
288.5,40.7,32.6,Sorghum
1433.4,40.8,24.4,Wheat
246.2,75.0,22.4,Rice
1778.1,41.5,31.6,Cassava
1650.0,52.1,23.6,Wheat
477.0,55.9,19.2,Cowpeas
391.9,57.4,10.5,Irish Potatoes
282.4,89.5,31.0,Sorghum
1760.6,85.1,19.1,Onions
1643.8,52.1,19.0,Pineapple
1128.7,63.5,20.8,Beans
710.4,71.1,13.8,Beans
256.4,74.3,11.1,Cowpeas
1829.0,56.1,13.2,Chilies
420.1,74.9,32.3,Beans
1504.5,80.7,15.7,Bananas
591.3,88.8,26.2,Spinach
1345.3,74.1,28.8,Pawpaw
386.5,88.1,24.9,Maize
600.1,58.5,33.4,Pumpkin
