Rainfall,Humidity,Temperature,pH,Label
1261.03,52.76,10.49,7.27,Bananas
647.1,75.94,33.43,6.15,Kale
859.76,63.33,34.88,7.4,Rice
1316.59,46.26,29.0,8.19,Carrots
358.84,82.27,23.52,5.34,Onions
944.46,59.83,25.69,6.99,Bananas
1261.8,88.63,29.65,7.16,Rice
1357.57,58.26,15.24,6.09,Tomatoes
593.02,47.78,15.54,8.02,Wheat
1211.49,72.65,14.54,8.07,Sorghum
671.28,52.92,32.63,8.25,Lentils
351.58,41.12,23.24,7.62,Kale
1498.01,55.34,11.65,4.91,Tomatoes
1372.02,64.9,20.12,6.12,Irish Potatoes
918.61,40.65,12.09,8.46,Lentils
1008.12,88.6,27.77,6.39,Sweet Potatoes
1068.04,79.78,33.47,6.87,Cabbage
1114.32,69.84,32.29,6.47,Tomatoes
730.89,78.55,12.38,5.16,Watermelon
1140.27,41.26,32.88,5.79,Onions
347.89,82.35,28.56,6.77,Beans
1451.04,71.63,21.26,6.29,Irish Potatoes
963.78,55.92,27.46,6.37,Lentils
1414.6,72.84,12.52,8.19,Irish Potatoes
783.93,45.19,19.12,5.38,Kale
1149.31,72.77,28.09,7.94,Sorghum
585.56,52.96,26.77,4.78,Onions
1168.61,73.66,11.63,6.33,Green Grams
761.75,89.72,22.23,7.78,Lentils
949.13,78.06,19.01,5.53,Peas
967.02,85.64,20.92,6.23,Watermelon
550.67,81.96,17.4,6.02,Kale
509.15,78.88,11.99,7.66,Watermelon
450.78,59.97,19.33,7.63,Maize
1236.94,60.88,22.61,5.9,Millet
431.49,82.85,33.2,5.74,Cabbage
599.77,79.62,25.75,6.73,Beans
574.69,60.57,13.54,7.3,Wheat
970.86,81.47,16.46,7.25,Maize
898.13,56.04,13.97,8.41,Cassava
447.35,72.26,29.41,8.24,Cowpeas
872.12,74.46,21.07,6.32,Wheat
1020.15,89.98,11.13,5.14,Onions
1101.77,67.89,30.81,7.69,Green Grams
1013.64,72.26,18.31,5.79,Lentils
593.82,84.34,27.02,6.97,Green Grams
1399.91,62.01,33.7,7.56,Green Grams
1052.39,52.09,15.29,4.91,Bananas
854.46,74.41,27.65,4.85,Wheat
1387.93,54.47,16.61,6.96,Cassava
1200.42,58.03,23.05,6.57,Sweet Potatoes
754.76,48.98,19.87,4.68,Lentils
364.88,45.38,18.77,5.58,Sweet Potatoes
1016.81,47.7,33.75,4.61,Watermelon
873.61,86.07,25.18,6.63,Peas
780.15,49.18,33.21,5.49,Beans
1214.21,82.78,13.76,7.41,Bananas
1471.96,84.98,34.0,8.26,Bananas
767.93,67.63,10.15,7.47,Sweet Potatoes
427.41,52.12,29.46,5.32,Cowpeas
1431.95,79.7,25.74,8.11,Cabbage
564.34,50.65,27.73,6.85,Maize
562.71,86.87,32.34,5.53,Wheat
352.53,79.2,27.97,5.18,Sorghum
755.36,54.04,27.48,5.88,Cabbage
882.79,80.86,11.48,6.11,Carrots
1429.17,55.97,33.63,5.43,Beans
633.01,85.1,33.1,6.97,Lentils
1287.95,40.48,31.34,8.3,Wheat
761.35,47.46,19.78,8.19,Kale
1061.67,55.4,14.73,5.1,Beans
335.46,80.73,24.58,5.36,Peas
1157.44,88.26,21.22,5.81,Onions
317.95,87.05,13.16,5.3,Millet
817.71,76.24,27.83,8.4,Beans
1272.33,40.9,30.37,5.67,Irish Potatoes
909.44,82.86,13.72,6.5,Sweet Potatoes
1362.46,54.93,23.54,5.4,Irish Potatoes
633.69,79.22,23.96,4.77,Sorghum
880.3,62.26,21.92,6.63,Rice
826.37,75.09,12.4,6.28,Carrots
441.45,53.19,22.84,7.74,Sorghum
1268.47,48.92,25.14,5.2,Cowpeas
692.62,45.96,14.59,6.8,Cowpeas
761.79,43.15,34.7,6.99,Cassava
635.61,58.01,26.61,5.03,Beans
467.53,75.78,26.18,6.91,Beans
763.65,70.86,21.36,7.86,Bananas
1115.91,61.83,30.77,7.03,Kale
664.93,73.68,25.52,6.05,Irish Potatoes
1108.94,44.78,33.45,6.02,Wheat
728.91,52.7,11.78,5.26,Cabbage
376.93,81.15,15.66,8.14,Sorghum
486.56,50.54,10.66,6.79,Lentils
999.5,82.18,26.46,6.63,Watermelon
882.74,74.34,23.43,7.02,Kale
942.1,61.9,31.51,5.18,Sorghum
1178.22,77.64,13.05,7.09,Cowpeas
476.99,69.89,30.64,6.26,Irish Potatoes
465.94,78.49,33.55,5.38,Onions
381.39,59.15,14.74,7.52,Maize
512.93,42.77,31.56,6.05,Tomatoes
1388.94,75.12,10.58,5.27,Peas
1100.16,58.63,18.81,4.88,Sorghum
545.35,73.33,11.89,6.94,Wheat
1353.58,70.5,24.66,5.2,Cabbage
944.56,80.13,13.39,7.32,Cabbage
596.16,76.8,19.35,5.02,Kale
384.68,68.07,14.79,4.87,Carrots
1128.52,78.37,22.22,5.49,Irish Potatoes
467.05,63.6,31.4,7.79,Wheat
1367.29,59.57,10.61,6.15,Beans
1005.26,86.47,26.75,8.3,Wheat
585.76,66.63,18.47,5.46,Carrots
395.73,50.13,10.66,8.5,Wheat
1106.85,48.18,12.33,6.15,Sorghum
1301.76,75.71,25.53,4.58,Sweet Potatoes
662.36,72.51,18.96,5.69,Rice
756.33,84.79,28.96,5.45,Lentils
321.64,72.09,27.93,6.73,Wheat
897.41,56.69,21.14,7.24,Watermelon
997.24,68.49,11.02,5.28,Kale
895.35,83.51,27.71,5.62,Irish Potatoes
1415.39,79.77,21.74,6.33,Sweet Potatoes
1058.08,47.58,16.57,8.13,Cassava
880.44,66.22,18.35,4.69,Irish Potatoes
597.02,48.42,26.63,6.87,Beans
1007.18,87.26,27.49,6.02,Lentils
1135.28,72.58,30.46,6.35,Tomatoes
997.25,69.15,33.38,6.36,Sorghum
1168.89,62.0,33.43,5.61,Carrots
1472.35,58.88,19.81,5.3,Cowpeas
1437.17,64.88,29.65,4.92,Onions
987.32,64.15,26.69,6.91,Green Grams
670.27,83.14,20.17,8.41,Irish Potatoes
1484.7,71.62,12.97,6.53,Watermelon
595.1,47.62,34.23,6.98,Carrots
980.3,69.15,16.31,4.96,Watermelon
1327.89,76.26,30.62,6.77,Cabbage
327.56,75.83,13.83,4.64,Maize
1350.41,73.21,29.89,7.85,Sorghum
601.86,64.23,20.33,4.72,Cowpeas
1417.4,84.99,26.66,6.63,Wheat
1082.35,49.73,25.34,4.55,Onions
719.19,69.09,19.14,5.33,Sorghum
337.25,65.14,16.8,7.77,Beans
823.95,65.53,12.53,5.08,Wheat
1489.81,49.66,31.49,7.33,Bananas
785.47,58.92,17.15,7.15,Lentils
506.78,87.3,28.71,5.15,Onions
591.11,67.47,20.8,7.28,Tomatoes
675.02,68.36,18.43,6.07,Millet
1238.03,71.89,21.25,5.17,Peas
1018.26,55.37,33.86,7.52,Lentils
824.63,70.33,19.88,5.11,Kale
680.01,87.19,20.48,7.04,Rice
571.42,81.27,17.04,5.95,Kale
1283.18,53.19,24.29,6.74,Kale
372.18,65.6,31.13,4.56,Sweet Potatoes
399.69,42.3,31.65,7.75,Carrots
1120.7,45.06,25.75,8.13,Rice
946.37,60.92,23.65,7.0,Sweet Potatoes
1157.85,43.52,30.76,5.31,Bananas
611.88,53.86,19.64,7.35,Watermelon
1284.66,77.91,17.78,6.62,Beans
1198.43,67.86,23.78,7.21,Wheat
1099.0,86.22,10.42,5.67,Lentils
467.65,79.08,14.55,8.35,Cabbage
974.53,43.19,20.38,6.46,Tomatoes
516.57,49.72,10.84,5.75,Maize
1162.52,68.95,15.92,7.5,Cowpeas
553.31,46.26,23.29,4.83,Beans
423.91,86.79,30.67,7.06,Kale
710.28,68.95,17.46,8.03,Watermelon
343.21,89.44,20.96,8.19,Tomatoes
444.61,83.71,25.89,8.2,Bananas
471.07,40.77,24.41,5.89,Kale
998.83,85.51,25.62,4.99,Lentils
1148.44,58.26,26.77,7.67,Irish Potatoes
1300.89,62.92,32.1,4.57,Sorghum
358.19,54.58,22.33,4.74,Peas
568.3,67.86,34.73,5.05,Sweet Potatoes
1000.75,70.23,18.56,5.98,Watermelon
412.01,51.44,24.59,7.05,Millet
1354.62,55.43,29.74,5.66,Peas
748.67,55.14,28.99,5.16,Cassava
732.76,61.96,34.65,6.54,Green Grams
1338.45,80.4,11.76,7.52,Peas
1320.97,81.24,32.73,8.26,Bananas
440.8,74.13,29.51,5.45,Watermelon
1188.86,67.82,32.15,7.22,Peas
1029.21,50.94,27.8,7.19,Sorghum
1032.67,77.97,16.35,4.5,Carrots
981.03,72.45,34.39,8.1,Irish Potatoes
1090.59,86.66,14.37,7.84,Irish Potatoes
549.72,61.03,16.33,7.94,Watermelon
1164.87,54.24,15.82,5.98,Bananas
1206.01,44.69,18.28,5.04,Tomatoes
1234.81,78.35,11.82,4.84,Sweet Potatoes
1434.66,61.51,33.3,5.63,Green Grams
402.34,55.38,16.44,4.5,Wheat
1305.12,40.49,31.7,5.63,Kale
557.02,71.86,18.42,5.02,Sorghum
1238.2,80.7,29.08,7.64,Bananas
301.67,46.2,21.99,6.91,Millet
720.45,71.15,31.39,5.51,Sweet Potatoes
512.76,77.44,27.03,5.23,Carrots
1207.95,55.39,16.6,7.39,Bananas
427.47,65.3,16.97,7.17,Kale
928.34,55.78,30.12,6.47,Peas
1025.2,81.42,26.04,5.3,Watermelon
808.8,87.34,29.42,7.65,Onions
991.84,73.45,15.82,6.49,Maize
724.29,68.48,34.99,7.09,Peas
647.77,59.76,28.17,5.56,Tomatoes
1134.24,78.06,14.43,6.59,Maize
1035.92,86.59,31.36,6.21,Wheat
1362.29,52.86,19.96,5.08,Maize
1326.41,65.58,14.74,7.8,Sorghum
551.6,83.1,24.33,4.96,Lentils
954.47,60.43,30.92,8.12,Maize
403.21,84.47,24.65,6.78,Cabbage
812.57,85.86,17.43,7.27,Cowpeas
728.84,79.93,32.83,6.58,Sweet Potatoes
1305.25,61.64,14.23,8.41,Lentils
565.43,58.05,26.7,4.53,Bananas
417.99,67.95,28.03,7.46,Tomatoes
959.97,73.21,20.47,7.37,Watermelon
525.09,62.48,31.26,5.94,Irish Potatoes
1410.37,61.03,13.39,4.62,Carrots
993.57,43.56,34.15,8.38,Peas
748.57,60.49,25.63,8.44,Carrots
747.12,40.8,19.43,5.47,Wheat
565.27,88.04,12.04,6.16,Maize
754.75,60.6,29.29,6.49,Maize
853.44,54.09,33.63,5.87,Cabbage
457.46,59.59,27.09,7.99,Peas
822.72,66.45,28.16,5.42,Cassava
1090.6,88.64,30.83,6.88,Irish Potatoes
988.39,52.97,27.37,6.7,Beans
1054.67,61.11,16.14,5.63,Irish Potatoes
529.95,46.9,30.87,6.37,Tomatoes
959.42,87.53,11.63,7.73,Cowpeas
1280.62,43.85,16.27,5.68,Watermelon
790.9,75.18,12.56,8.41,Sweet Potatoes
761.64,61.3,34.63,7.4,Wheat
612.16,45.02,17.95,4.73,Cassava
689.58,50.5,15.58,8.02,Cassava
1345.9,52.11,24.08,7.7,Rice
781.75,63.25,25.9,6.82,Irish Potatoes
366.93,60.1,26.56,6.46,Lentils
741.38,84.56,34.15,5.41,Beans
1485.29,58.54,24.66,5.64,Cassava
1045.11,43.74,27.0,6.23,Lentils
519.78,56.17,24.19,4.75,Green Grams
340.16,45.28,19.54,7.89,Green Grams
1305.54,67.99,26.12,7.75,Rice
482.01,43.42,31.28,7.35,Maize
1183.25,84.42,31.59,5.86,Cabbage
303.78,48.98,15.33,7.22,Green Grams
571.16,41.1,10.62,5.01,Wheat
462.96,70.64,22.21,8.41,Lentils
806.2,72.49,29.55,7.66,Peas
860.91,70.84,30.95,8.48,Cabbage
430.11,45.2,26.83,4.67,Rice
1091.96,57.37,34.08,5.42,Watermelon
922.96,87.93,21.39,8.18,Maize
543.94,71.58,24.01,6.66,Irish Potatoes
851.94,83.15,33.42,8.24,Wheat
728.61,43.98,18.99,7.63,Sorghum
390.27,82.51,16.83,7.41,Onions
1452.59,83.2,14.87,5.03,Watermelon
667.95,45.84,31.73,4.7,Beans
1278.9,64.79,29.02,4.84,Tomatoes
318.48,40.6,17.49,7.24,Millet
1280.98,49.4,17.88,5.97,Wheat
584.61,48.25,28.27,5.52,Cassava
1166.71,61.8,17.33,4.57,Sweet Potatoes
842.31,50.04,19.09,6.1,Cowpeas
1247.92,78.33,16.35,6.34,Lentils
322.04,51.67,19.46,8.41,Cowpeas
924.63,50.24,22.46,8.38,Sorghum
1092.93,53.56,32.36,4.67,Sorghum
727.83,81.97,30.56,8.43,Kale
823.77,86.59,20.38,6.24,Watermelon
1455.66,60.7,17.71,6.32,Cabbage
986.37,51.37,29.1,4.92,Cabbage
731.99,88.66,23.64,6.01,Rice
774.87,45.32,20.06,4.68,Sorghum
804.88,75.41,15.79,6.2,Green Grams
515.67,76.19,26.02,8.36,Sorghum
1453.23,58.96,20.37,6.51,Wheat
353.78,48.71,15.4,7.3,Cassava
689.4,86.32,22.83,5.32,Lentils
682.45,44.74,33.02,5.38,Wheat
520.53,40.36,34.39,7.31,Watermelon
318.37,71.23,26.39,5.06,Sorghum
340.18,54.95,23.09,5.87,Sorghum
801.44,87.22,15.57,8.1,Bananas
891.75,42.11,27.37,7.51,Cassava
1031.59,56.28,20.56,8.3,Beans
1014.2,46.26,34.72,5.74,Cabbage
811.27,83.36,26.5,5.05,Millet
584.42,47.42,10.76,6.39,Onions
1418.48,89.66,26.81,6.64,Rice
1329.79,54.9,15.57,7.1,Sorghum
819.22,44.34,29.55,7.37,Green Grams
611.04,77.91,33.84,5.22,Cowpeas
1011.24,57.12,21.15,6.41,Watermelon
618.65,81.13,10.67,4.7,Carrots
1229.75,41.94,18.16,5.12,Carrots
1092.75,84.36,16.98,8.49,Sorghum
541.15,50.33,10.82,5.3,Tomatoes
356.15,71.34,13.18,6.37,Onions
476.17,57.82,15.46,6.64,Tomatoes
1377.1,58.04,26.68,5.36,Cabbage
799.46,51.99,22.23,4.96,Peas
1009.53,43.49,22.85,8.38,Peas
336.05,89.1,14.17,6.63,Wheat
1279.0,53.43,22.96,5.15,Sweet Potatoes
973.53,82.43,17.57,8.23,Watermelon
660.13,75.16,12.66,6.08,Wheat
639.66,42.82,31.05,7.29,Green Grams
546.31,50.09,34.13,6.97,Green Grams
499.84,45.34,25.88,5.73,Bananas
1157.48,58.1,27.41,4.69,Cowpeas
1222.78,62.26,32.23,7.57,Sorghum
1269.31,66.73,33.73,6.28,Bananas
660.25,42.46,10.03,7.73,Irish Potatoes
319.62,78.18,14.11,7.39,Lentils
375.89,84.7,26.62,6.41,Sweet Potatoes
593.61,88.35,16.57,7.15,Beans
1259.63,48.57,17.27,6.02,Beans
1185.33,50.02,23.78,7.95,Beans
724.86,78.82,20.87,6.5,Cassava
1180.82,57.9,22.01,7.84,Tomatoes
1070.14,86.32,29.21,6.28,Wheat
705.3,71.86,29.08,7.33,Beans
1163.1,86.25,13.59,7.41,Tomatoes
1061.41,50.92,25.54,5.02,Beans
1257.04,73.15,11.72,8.48,Tomatoes
930.32,48.17,12.69,6.68,Bananas
1012.1,71.73,20.88,8.15,Tomatoes
1363.96,46.44,19.02,5.83,Lentils
536.93,84.89,28.36,5.76,Green Grams
344.08,72.92,29.85,7.96,Rice
445.78,48.46,26.79,7.21,Tomatoes
992.01,85.32,18.24,4.95,Sorghum
1358.2,42.13,10.48,8.37,Cassava
1074.13,89.31,34.79,6.76,Cowpeas
1374.71,54.73,29.17,5.63,Maize
859.89,40.03,29.31,6.04,Beans
733.73,48.87,25.51,6.74,Rice
394.85,45.56,34.31,7.45,Bananas
861.09,47.47,11.35,4.66,Irish Potatoes
462.01,60.83,34.0,5.83,Bananas
887.1,64.93,25.74,7.58,Green Grams
508.9,48.88,12.15,5.16,Millet
596.46,76.55,30.02,6.52,Watermelon
575.05,43.69,24.55,4.72,Maize
1192.1,71.82,18.33,4.72,Kale
735.56,72.85,21.53,5.42,Watermelon
1283.19,56.4,12.74,6.21,Kale
1061.48,72.73,27.1,4.55,Beans
807.55,75.01,21.56,4.57,Irish Potatoes
791.27,49.3,26.86,5.88,Beans
859.04,59.94,18.9,7.55,Watermelon
916.61,84.79,16.12,6.46,Lentils
356.12,47.14,15.32,5.13,Lentils
645.24,82.78,13.37,7.32,Maize
936.39,77.02,17.35,8.06,Tomatoes
1192.91,65.76,29.68,4.6,Lentils
300.87,87.4,20.96,7.4,Beans
475.5,75.47,22.13,7.16,Millet
371.39,88.62,11.08,8.16,Irish Potatoes
583.23,76.88,11.57,6.04,Tomatoes
682.03,56.69,12.2,7.56,Cassava
358.37,72.23,10.23,7.95,Peas
311.71,54.71,15.8,7.39,Tomatoes
1333.36,63.78,22.07,5.13,Onions
929.56,47.3,34.51,6.86,Millet
689.69,43.84,10.49,6.06,Peas
910.27,42.63,12.39,5.93,Bananas
1392.27,71.95,14.02,6.17,Tomatoes
343.92,58.27,10.36,6.27,Cabbage
592.52,55.68,33.16,7.81,Carrots
379.83,50.43,34.83,7.45,Wheat
392.24,81.6,15.74,7.99,Watermelon
961.66,79.17,18.81,8.09,Beans
1358.22,41.86,24.94,6.72,Millet
681.65,44.7,21.14,6.97,Green Grams
1389.18,78.51,20.44,5.62,Cabbage
1298.69,56.44,26.09,4.92,Cowpeas
938.34,81.6,25.56,6.49,Sweet Potatoes
1197.7,40.71,13.47,5.4,Sorghum
899.29,58.93,31.75,5.09,Onions
988.08,54.71,29.9,6.68,Sorghum
349.06,69.35,18.4,4.9,Carrots
1227.24,75.37,20.01,7.74,Maize
764.05,86.72,13.12,5.47,Maize
890.67,82.99,19.33,7.33,Lentils
343.6,86.84,28.92,7.39,Millet
318.76,70.52,27.54,4.97,Cassava
1349.56,48.55,24.22,7.31,Irish Potatoes
788.39,45.98,31.56,5.44,Beans
425.41,40.1,34.68,6.39,Sorghum
301.99,54.52,30.79,8.24,Sweet Potatoes
1470.59,66.47,24.64,7.26,Millet
933.34,57.7,33.75,6.23,Sorghum
1348.96,77.81,31.16,6.71,Cabbage
1171.9,71.67,12.06,8.29,Lentils
347.92,54.84,31.89,7.2,Tomatoes
956.85,74.06,19.23,7.89,Bananas
370.36,51.57,17.38,7.39,Cassava
1262.82,46.61,25.77,6.91,Watermelon
1185.14,40.27,15.18,7.0,Cassava
1388.62,64.6,34.81,5.72,Watermelon
954.07,78.65,18.2,6.92,Wheat
419.9,59.25,13.13,4.76,Maize
1214.75,82.19,22.23,6.05,Millet
355.33,75.43,33.02,5.44,Sorghum
1483.68,62.68,31.52,7.57,Sorghum
841.65,48.65,20.53,8.37,Tomatoes
520.26,59.11,11.65,5.7,Maize
1457.37,75.69,23.54,6.09,Sweet Potatoes
1040.53,64.45,16.34,8.38,Carrots
336.99,46.64,20.47,7.6,Watermelon
1393.01,43.07,24.65,6.59,Cabbage
942.5,68.3,30.42,5.0,Carrots
403.37,68.91,17.53,7.83,Sorghum
1141.96,77.11,27.32,6.3,Sweet Potatoes
1134.74,40.43,32.74,5.35,Rice
1179.44,89.99,19.84,5.78,Bananas
615.8,69.05,15.27,4.55,Carrots
1001.12,51.7,28.02,5.68,Carrots
690.04,61.49,26.33,8.05,Watermelon
1178.15,59.73,27.1,6.16,Carrots
1359.36,79.46,16.46,5.43,Cowpeas
539.28,46.88,24.19,6.42,Green Grams
689.49,86.13,12.25,7.63,Millet
869.62,54.84,23.62,6.5,Irish Potatoes
1378.98,75.55,33.91,7.45,Wheat
408.69,46.88,19.41,4.73,Beans
994.51,55.59,34.71,7.48,Tomatoes
463.92,71.94,13.83,4.63,Carrots
327.53,77.69,13.73,5.79,Kale
310.76,48.5,10.96,6.91,Rice
363.42,52.23,10.36,7.49,Irish Potatoes
1463.97,64.41,10.32,5.25,Green Grams
1012.98,81.64,28.21,6.92,Tomatoes
586.5,84.28,19.19,5.8,Lentils
765.22,81.24,18.81,8.2,Wheat
434.28,57.91,22.34,5.81,Peas
315.82,84.75,12.86,6.87,Onions
819.33,72.04,28.36,7.83,Irish Potatoes
1236.68,52.66,23.5,5.31,Peas
1030.66,79.88,22.08,5.56,Cowpeas
841.99,50.69,16.44,4.54,Cowpeas
1349.43,64.34,32.54,5.27,Peas
865.87,65.86,33.97,8.41,Kale
1207.36,78.05,24.83,8.09,Maize
1142.86,68.31,18.68,8.05,Peas
1047.33,70.24,28.41,8.0,Sorghum
576.63,40.89,12.25,7.52,Kale
427.73,82.43,16.7,6.24,Cassava
716.83,88.12,11.09,6.54,Millet
863.47,70.09,24.34,7.85,Bananas
973.79,76.21,26.83,8.05,Cabbage
522.39,78.66,12.47,8.38,Millet
475.33,74.64,27.7,7.37,Cassava
507.65,85.82,32.73,5.11,Sweet Potatoes
1238.75,72.26,26.97,6.94,Watermelon
563.37,60.58,16.96,7.4,Rice
1370.99,78.34,30.59,7.29,Sweet Potatoes
973.79,78.44,12.73,7.34,Watermelon
1381.75,86.31,19.43,6.45,Carrots
649.67,63.28,33.72,6.38,Cassava
1290.66,47.29,13.35,6.07,Kale
389.0,52.53,29.65,5.1,Cassava
1456.76,63.96,23.4,7.34,Millet
804.1,87.51,17.2,7.23,Cassava
1150.18,72.85,19.91,6.94,Watermelon
601.16,63.57,26.74,7.6,Kale
1017.44,78.54,13.01,5.15,Cowpeas
522.57,48.51,11.02,7.37,Cowpeas
1476.95,53.12,15.24,5.39,Lentils
1259.48,83.26,16.7,5.58,Bananas
678.11,41.31,33.66,6.02,Bananas
465.72,46.61,25.8,5.4,Peas
1307.09,60.17,29.07,6.65,Onions
1356.88,53.87,29.39,8.39,Cabbage
1312.63,48.27,34.62,6.96,Millet
1245.75,60.54,34.89,8.17,Wheat
1363.0,83.11,25.4,5.36,Carrots
856.45,67.7,11.72,6.29,Millet
445.45,42.47,30.31,4.79,Millet
423.79,81.99,18.19,4.86,Wheat
641.02,61.12,14.34,7.42,Cassava
810.04,79.23,16.99,5.55,Cabbage
1189.45,69.55,14.13,6.01,Millet
1295.47,62.7,12.34,7.1,Onions
667.54,68.77,22.42,6.95,Beans
828.34,58.44,27.92,5.5,Sweet Potatoes
686.39,55.47,23.95,5.06,Lentils
877.16,58.78,19.03,6.89,Bananas
309.86,79.37,32.07,6.83,Carrots
1167.16,72.98,22.8,8.23,Carrots
683.6,61.57,26.62,4.71,Bananas
600.92,61.14,15.44,7.82,Cassava
717.76,71.7,27.71,6.7,Kale
322.42,45.37,20.51,8.45,Millet
1410.83,68.08,32.46,5.16,Onions
1075.03,83.26,30.79,5.93,Sweet Potatoes
365.05,56.42,34.12,4.86,Cowpeas
1292.08,51.39,30.81,5.79,Rice
589.76,40.94,14.43,7.12,Kale
518.34,56.16,34.37,5.4,Tomatoes
1047.22,45.89,13.92,6.74,Millet
849.18,70.47,22.03,7.59,Sorghum
657.58,82.6,31.68,7.43,Millet
877.4,47.87,27.51,5.89,Maize
1424.98,53.32,12.01,7.61,Rice
1145.19,54.38,30.33,8.37,Millet
1318.44,51.04,15.92,8.15,Cabbage
579.7,46.63,30.09,6.15,Watermelon
1180.88,41.94,30.63,7.19,Lentils
1271.09,67.7,16.49,6.58,Green Grams
595.55,55.96,17.6,5.72,Tomatoes
1069.11,73.66,31.57,8.32,Green Grams
1357.26,50.02,28.72,5.83,Cassava
685.93,41.62,18.49,8.4,Onions
1483.46,73.58,25.63,5.95,Bananas
1376.71,57.96,22.56,5.5,Tomatoes
338.0,54.28,29.32,4.9,Onions
627.65,84.78,12.89,8.12,Carrots
1365.19,49.4,17.34,7.25,Lentils
433.64,47.19,10.87,4.57,Kale
1231.4,82.92,21.12,4.61,Wheat
821.4,72.44,17.71,7.79,Cowpeas
1462.16,45.77,23.78,6.65,Carrots
503.54,60.77,14.89,7.31,Watermelon
1401.78,40.24,21.16,7.36,Wheat
422.34,68.37,33.42,7.78,Cassava
788.04,66.09,33.84,4.97,Irish Potatoes
468.83,49.48,23.24,7.61,Rice
1167.31,61.13,23.51,4.67,Rice
1396.28,88.11,19.01,8.33,Lentils
424.34,60.06,23.92,5.11,Irish Potatoes
864.48,86.22,13.47,6.32,Onions
327.64,82.24,33.65,6.26,Bananas
441.06,84.2,18.0,7.51,Peas
863.92,89.38,28.5,5.22,Maize
414.22,57.87,24.43,4.93,Cabbage
595.67,63.01,30.34,6.03,Cowpeas
368.87,86.26,10.26,7.16,Irish Potatoes
1339.69,70.3,11.75,7.96,Tomatoes
999.24,58.82,12.95,7.38,Beans
1204.68,47.99,25.93,4.85,Watermelon
1068.16,60.97,15.35,7.64,Bananas
1200.64,88.18,13.03,7.29,Lentils
1200.54,74.46,20.17,5.96,Kale
520.32,67.73,10.47,7.54,Onions
963.06,67.88,11.79,5.33,Kale
414.73,41.41,27.09,8.21,Wheat
